task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
14970,har,0,8239,2060,561,6,95.44550876100038,,0.9999812650670373,0.996116504854369,0.009723422152947584
125920,dresses-sales,0,400,100,12,2,0.00045230799878481776,ValueError: could not convert string to float: 'Casual',,,
125922,texture,0,4400,1100,40,11,17.61474070300028,,1.0,1.0,9.684504187466148e-05
146195,connect-4,0,10000,13512,42,3,177.10509541399915,,0.9021907307607447,0.8148312611012434,0.46207436998859913
146800,MiceProtein,0,864,216,77,8,3.442118273000233,,1.0,1.0,4.85289480818263e-06
146817,steel-plates-fault,0,1552,389,27,7,6.216107087999262,,0.9726725786863347,0.8046272493573264,0.4756604908426866
146819,climate-model-simulation-crashes,0,432,108,18,2,1.4891633619990898,,0.9001122334455668,0.9537037037037037,0.16801844993578197
146820,wilt,0,3871,968,5,2,11.20116455400057,,0.9979425596237823,0.9907024793388429,0.02591106926842562
146821,car,0,1382,346,6,4,0.00045113099986338057,ValueError: could not convert string to float: 'med',,,
146822,segment,0,1848,462,16,7,5.4989172799996595,,0.9974310201582931,0.961038961038961,0.13478399642310146
146824,mfeat-pixel,0,1600,400,240,10,7.317897682998591,,0.9992986111111112,0.97,0.14950110807068118
146825,Fashion-MNIST,0,10000,14000,784,10,665.9606340789996,,0.9914985487528346,0.8882142857142857,0.3027244387101292
167119,jungle_chess_2pcs_raw_endgame_complete,0,10000,8964,6,3,100.79126402099973,,0.9760283702995323,0.8676929941990182,0.24655890129771801
167120,numerai28.6,0,10000,19264,21,2,300.8012811330009,,0.5229749125061942,0.5181166943521595,0.6927465201120874
167121,Devnagari-Script,0,10000,18400,1024,46,3.0738240409991704,"NeuralkException: ('{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 1024 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""62335f7d-bbcb-4099-adcc-d5c0482e47bf""}}}', <HTTPStatus.BAD_REQUEST: 400>, '{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 1024 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""62335f7d-bbcb-4099-adcc-d5c0482e47bf""}}}')",,,
167124,CIFAR_10,0,10000,12000,3072,10,7.7585724300006405,"NeuralkException: ('{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 3072 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""c48d76f3-2b8b-4299-aa97-400092c14fe6""}}}', <HTTPStatus.BAD_REQUEST: 400>, '{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 3072 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""c48d76f3-2b8b-4299-aa97-400092c14fe6""}}}')",,,
167125,Internet-Advertisements,0,2623,656,1558,2,1.607536904999506,"NeuralkException: ('{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 1558 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""6fd8b7a7-d60f-4d78-8a79-676ea2841312""}}}', <HTTPStatus.BAD_REQUEST: 400>, '{""detail"":{""error"":{""code"":4000110,""type"":""CAPACITY_EXCEEDED"",""message"":""X_train and X_test contain 1558 features, exceeding the API limit of 998. Request rejected before inference dispatch."",""request_id"":""6fd8b7a7-d60f-4d78-8a79-676ea2841312""}}}')",,,
167140,dna,0,2548,638,180,3,8.49782669600063,,0.9981416590148703,0.9733542319749217,0.07782588883643646
167141,churn,0,4000,1000,20,2,12.804777396000645,,0.9290821423558648,0.965,0.12781767904355482
