task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
3,kr-vs-kp,0,2556,640,36,2,2.3129302699999243,,0.9958807874447183,0.9703125,0.0884097237309736
6,letter,0,10000,4000,16,26,65.40742086800128,,0.5345565084388725,0.03725,13.312464242964479
11,balance-scale,0,500,125,4,3,0.06461918800050626,,1.0,1.0,0.11943107219505716
12,mfeat-factors,0,1600,400,216,10,4.133934502000557,,0.9947569444444444,0.9375,0.24728322101972808
14,mfeat-fourier,0,1600,400,76,10,1.516831942000863,,0.9794305555555557,0.8275,0.5061964007742553
15,breast-w,0,559,140,9,2,0.132908147001217,,0.9943387681159421,0.9571428571428572,0.11940544221234606
16,mfeat-karhunen,0,1600,400,64,10,1.295244309998452,,0.9910277777777777,0.905,0.39854307004055656
18,mfeat-morphological,0,1600,400,6,10,0.2700537830005487,,0.9643958333333333,0.715,0.634304863423504
22,mfeat-zernike,0,1600,400,47,10,0.9843996820000029,,0.9615763888888891,0.715,0.7284700992400235
23,cmc,0,1178,295,9,3,0.19038571500095713,,0.7582530313717747,0.5830508474576271,0.8919904313819811
28,optdigits,0,4496,1124,64,10,14.306799228999807,,0.9958675320834111,0.9128113879003559,0.33153364429750354
29,credit-approval,0,552,138,15,2,0.1808054599987372,,0.9065360868639557,0.8043478260869565,0.404469135778051
31,credit-g,0,800,200,20,2,0.17967934499938565,,0.7779761904761904,0.75,0.5139417919638585
32,pendigits,0,8793,2199,16,10,28.923571745999652,,0.9951436849060779,0.9072305593451568,0.3285581697672979
37,diabetes,0,614,154,8,2,0.12176752800041868,,0.8205555555555557,0.7597402597402597,0.4934507245926105
43,spambase,0,3680,921,57,2,8.245658001000265,,0.976613643769069,0.9446254071661238,0.18117979765802378
45,splice,0,2552,638,60,3,3.211723031001384,,0.9907789623448159,0.9357366771159875,0.17375116100502658
49,tic-tac-toe,0,766,192,9,2,0.13426145300036296,,0.7426865671641791,0.703125,0.5571398582217989
53,vehicle,0,676,170,18,4,0.1558466389997193,,0.9253554388320013,0.7529411764705882,0.43395002851231784
219,electricity,0,10000,9063,8,2,77.54292228099985,,0.8565033846074115,0.7702747434624296,0.4704111708068851
2074,satimage,0,5144,1286,36,6,13.559355098001106,,0.984224404283904,0.8755832037325039,0.3043111423378441
2079,eucalyptus,0,588,148,19,5,0.1737651020011981,,0.9168030036867167,0.6756756756756757,0.7329264856472232
3021,sick,0,3017,755,29,2,2.9609006070004398,,0.9938063408352242,0.9854304635761589,0.04550285832448789
3022,vowel,0,792,198,12,11,0.16001399400010996,,0.9320707070707072,0.7727272727272727,1.9721102953150134
3481,isolet,0,6237,1560,617,26,1.4937738119988353,"OutOfMemoryError: CUDA out of memory. Tried to allocate 67.82 GiB. GPU 0 has a total capacity of 39.49 GiB of which 24.05 GiB is free. Including non-PyTorch memory, this process has 15.43 GiB memory in use. Of the allocated memory 9.87 GiB is allocated by PyTorch, and 5.07 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
3549,analcatdata_authorship,0,672,169,70,4,0.26221701800022856,,0.9998870744368626,0.9881656804733728,0.03095662320289259
3560,analcatdata_dmft,0,637,160,4,6,0.12115212100070494,,0.5552539358732749,0.23125,1.7796568261821857
