task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
3,kr-vs-kp,0,1598,1598,36,2,15.732820242000003,,0.9954722086205382,0.9643304130162703,0.09306851677768926
6,letter,0,10000,10000,16,26,897.5446152180001,,0.5319700087897133,0.0374,13.312201488470128
11,balance-scale,0,312,313,4,3,0.27079530199989676,,0.9858536050843743,0.9297124600638977,0.16517900668362098
12,mfeat-factors,0,1000,1000,216,10,23.55627080799991,,0.9943422222222221,0.926,0.27272312914506314
14,mfeat-fourier,0,1000,1000,76,10,8.233165162999967,,0.9752977777777778,0.782,0.5810546225387373
15,breast-w,0,349,350,9,2,0.34452785300004507,,0.9899310693276553,0.9514285714285714,0.12856687204378883
16,mfeat-karhunen,0,1000,1000,64,10,6.473594917000128,,0.9933588888888888,0.9,0.37912410533130325
18,mfeat-morphological,0,1000,1000,6,10,0.9314539140000306,,0.9574872222222222,0.707,0.7204275365574943
22,mfeat-zernike,0,1000,1000,47,10,4.851037612000027,,0.9663727777777777,0.742,0.6881647800835562
23,cmc,0,736,737,9,3,0.6868679619999511,,0.7579692400778532,0.5617367706919946,0.8842320347020873
28,optdigits,0,2810,2810,64,10,94.53256512600001,,0.9953505461447758,0.9103202846975089,0.3406735199272378
29,credit-approval,0,345,345,15,2,0.43185770200011575,,0.9080029917726253,0.8260869565217391,0.44322432552288776
31,credit-g,0,500,500,20,2,0.5996544580000318,,0.7980761904761906,0.76,0.49920526071302235
32,pendigits,0,5496,5496,16,10,157.55884956900013,,0.995388976021659,0.8970160116448326,0.32913719536265834
37,diabetes,0,384,384,8,2,0.315432471999884,,0.8181194029850746,0.7552083333333334,0.5067979831646136
43,spambase,0,2300,2301,57,2,50.271008000000165,,0.9778551644391856,0.9391568883094307,0.18073528307340303
45,splice,0,1595,1595,60,3,20.41461967699979,,0.9916603152372566,0.9398119122257054,0.16075540419698595
49,tic-tac-toe,0,479,479,9,2,0.42136259200015047,,0.7441394972862696,0.6951983298538622,0.5706452648373288
53,vehicle,0,423,423,18,4,0.5194913169998472,,0.9295127257487256,0.7565011820330969,0.44086141098252357
