task_id,task_name,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std
3,kr-vs-kp,0.9954722086205382,,0.9643304130162703,,0.09306851677768926,
6,letter,0.5319700087897133,,0.0374,,13.312201488470128,
11,balance-scale,0.9858536050843743,,0.9297124600638977,,0.16517900668362098,
12,mfeat-factors,0.9943422222222221,,0.926,,0.27272312914506314,
14,mfeat-fourier,0.9752977777777778,,0.782,,0.5810546225387373,
15,breast-w,0.9899310693276553,,0.9514285714285714,,0.12856687204378883,
16,mfeat-karhunen,0.9933588888888888,,0.9,,0.37912410533130325,
18,mfeat-morphological,0.9574872222222222,,0.707,,0.7204275365574943,
22,mfeat-zernike,0.9663727777777777,,0.742,,0.6881647800835562,
23,cmc,0.7579692400778532,,0.5617367706919946,,0.8842320347020873,
28,optdigits,0.9953505461447758,,0.9103202846975089,,0.3406735199272378,
29,credit-approval,0.9080029917726253,,0.8260869565217391,,0.44322432552288776,
31,credit-g,0.7980761904761906,,0.76,,0.49920526071302235,
32,pendigits,0.995388976021659,,0.8970160116448326,,0.32913719536265834,
37,diabetes,0.8181194029850746,,0.7552083333333334,,0.5067979831646136,
43,spambase,0.9778551644391856,,0.9391568883094307,,0.18073528307340303,
45,splice,0.9916603152372566,,0.9398119122257054,,0.16075540419698595,
49,tic-tac-toe,0.7441394972862696,,0.6951983298538622,,0.5706452648373288,
53,vehicle,0.9295127257487256,,0.7565011820330969,,0.44086141098252357,
2074,satimage,0.9832346681087599,,0.8771384136858476,,0.3088712545200711,
2079,eucalyptus,0.90512985986229,,0.657608695652174,,0.7505411835095551,
3021,sick,0.9889180762526698,,0.9782608695652174,,0.05876232776324967,
3022,vowel,0.9331941638608305,,0.7252525252525253,,1.9685582426705726,
3549,analcatdata_authorship,0.999907138344984,,0.9904988123515439,,0.02424882291392834,
3560,analcatdata_dmft,0.5571651892411443,,0.19548872180451127,,1.7738702261749706,
3902,pc4,0.9419768258426966,,0.9053497942386831,,0.19461206333143402,
3903,pc3,0.8264423076923078,,0.8976982097186701,,0.2653845183414948,
3904,jm1,0.7083032100496034,,0.8092963439279809,,0.45405244710055204,
3913,kc2,0.8173076923076924,,0.8237547892720306,,0.40623105792385655,
3917,kc1,0.8210060799471787,,0.8511848341232228,,0.3500774428257646,
3918,pc1,0.8685897435897435,,0.9297297297297298,,0.19444312770940161,
9946,wdbc,0.9986824075050068,,0.9859649122807017,,0.0532911744436037,
9952,phoneme,0.9193321341729659,,0.8604737231680237,,0.3408981400145869,
9957,qsar-biodeg,0.9132263242375602,,0.8693181818181818,,0.3469470302458361,
9960,wall-robot-navigation,0.9986682800402187,,0.9780058651026393,,0.08521483373123881,
9964,semeion,0.9557209756330156,,0.6913425345043914,,0.9534660099545997,
9971,ilpd,0.7103365384615385,,0.7054794520547946,,0.5392040631932363,
9976,madelon,0.7740165680473372,,0.7069230769230769,,0.5748881077230927,
9978,ozone-level-8hr,0.9146482729570345,,0.9423835832675612,,0.15432702315106375,
9981,cnae-9,0.9420331790123456,,0.7092592592592593,,0.9017122018348935,
9985,first-order-theorem-proving,0.7115450882332865,,0.4472049689440994,,1.435919017118781,
10093,banknote-authentication,1.0,,1.0,,0.0025699141149310508,
10101,blood-transfusion-service-center,0.7576581904198697,,0.7887700534759359,,0.47202135353204505,
14952,PhishingWebsites,0.9827270736801454,,0.9289073806078147,,0.16951004068985281,
14954,cylinder-bands,0.8296783625730995,,0.7518518518518519,,0.49610142369139815,
14969,GesturePhaseSegmentationProcessed,0.7679046152193969,,0.48349199918979135,,1.2500500560319003,
125920,dresses-sales,0.5648604269293924,,0.584,,0.6846611817731175,
125922,texture,0.9486666181818183,,0.8261818181818181,,1.7279915205223138,
146800,MiceProtein,0.9980798365695771,,0.9462962962962963,,0.2010625735058375,
146817,steel-plates-fault,0.9318426408599948,,0.7044284243048403,,0.7671508812758856,
146819,climate-model-simulation-crashes,0.9358387607815526,,0.9518518518518518,,0.14221249661240695,
146820,wilt,0.9963682930977559,,0.9855371900826446,,0.03779305600197601,
146821,car,0.977864730496938,,0.8773148148148148,,0.2939711482855672,
146822,segment,0.9915212733394551,,0.8952380952380953,,0.24371121134053242,
146824,mfeat-pixel,0.9888855555555555,,0.832,,0.506450438697269,
167140,dna,0.9913541281251655,,0.9391086001255493,,0.16795194132135824,
167141,churn,0.9123139079366294,,0.9208,,0.21810665162285892,
