task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
146817,steel-plates-fault,0,1552,389,27,7,0.37300293999987844,,0.5953253272170483,0.35989717223650386,7.122280647313103
146819,climate-model-simulation-crashes,0,432,108,18,2,0.05596598500005712,,0.9113355780022447,0.9166666666666666,0.300162639444481
146820,wilt,0,3871,968,5,2,0.8394889569999577,,0.5541862613369163,0.9462809917355371,0.21376377663162047
146822,segment,0,1848,462,16,7,0.32736600899988844,,0.6436223708950981,0.2857142857142857,7.391715733252321
146824,mfeat-pixel,0,1600,400,240,10,2.4700497690000702,,0.6577361111111112,0.2,8.842340366275575
146825,Fashion-MNIST,0,10000,14000,784,10,0.8966715289998319,"OutOfMemoryError: CUDA out of memory. Tried to allocate 17.53 GiB. GPU 0 has a total capacity of 39.49 GiB of which 6.17 GiB is free. Including non-PyTorch memory, this process has 33.31 GiB memory in use. Of the allocated memory 19.20 GiB is allocated by PyTorch, and 13.62 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
167119,jungle_chess_2pcs_raw_endgame_complete,0,10000,8964,6,3,38.5046967090002,,0.8057978276791017,0.7019187862561357,0.896867399547782
167120,numerai28.6,0,10000,19264,21,2,212.57448199600003,,0.514503792921811,0.4948089700996678,0.6946562652166771
167140,dna,0,2548,638,180,3,5.290560653999819,,0.9762448222735248,0.542319749216301,1.0482126824168072
167141,churn,0,4000,1000,20,2,2.217518770999959,,0.8329906951015118,0.859,0.39271709542873307
