task_id,task_name,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std,log_loss_mean,log_loss_std
11,balance-scale,0.8389763035553215,,0.864,,0.7977467966012767,
12,mfeat-factors,0.62,,0.195,,8.808381662676235,
14,mfeat-fourier,0.6103854166666667,,0.19,,8.791543524300613,
15,breast-w,0.9911684782608696,,0.8857142857142857,,0.33837247542558896,
16,mfeat-karhunen,0.6618125,,0.195,,8.848760213812781,
18,mfeat-morphological,0.6575347222222222,,0.1875,,8.411701347668407,
22,mfeat-zernike,0.6107013888888889,,0.1875,,8.806814282844122,
23,cmc,0.6901590565883126,,0.4271186440677966,,1.0474150841888923,
28,optdigits,0.6014169848520294,,0.18861209964412812,,8.877945872735715,
32,pendigits,0.599116992631336,,0.26875852660300137,,8.624520039391719,
37,diabetes,0.7794444444444444,,0.6493506493506493,,0.5929159053821954,
43,spambase,0.938120204982375,,0.6058631921824105,,0.6218675751605348,
53,vehicle,0.6329606938200688,,0.3352941176470588,,3.6792752388167616,
219,electricity,0.7770801233049555,,0.6386406267240428,,0.6328672842155038,
2074,satimage,0.7540127205725676,,0.5186625194401244,,5.59697683688302,
3549,analcatdata_authorship,0.8842587827668534,,0.6863905325443787,,3.235332294445395,
3902,pc4,0.7715928819444444,,0.8767123287671232,,0.3543133395167818,
3903,pc3,0.7723532028469751,,0.8977635782747604,,0.31868947264040337,
3904,jm1,0.6757131301435457,,0.8066146072576941,,0.4725774459719008,
3913,kc2,0.7719058050383352,,0.8,,0.4504376778840721,
3917,kc1,0.8009049773755657,,0.8459715639810427,,0.380627652999356,
3918,pc1,0.7761674718196457,,0.9324324324324325,,0.2318905992282441,
9946,wdbc,0.9917328042328043,,0.8421052631578947,,0.4244886142371155,
9952,phoneme,0.8245206203445257,,0.7067530064754857,,0.5327163065229682,
9957,qsar-biodeg,0.8773641851106639,,0.6635071090047393,,0.5844593082046624,
9960,wall-robot-navigation,0.7082058737502728,,0.4652014652014652,,2.6559907225920734,
9964,semeion,0.5974465097473555,,0.13793103448275862,,8.89376852431182,
9976,madelon,0.5321745562130178,,0.5134615384615384,,0.6927458814362332,
9978,ozone-level-8hr,0.7251973684210526,,0.9368836291913215,,0.2406959898603058,
9981,cnae-9,0.5925443672839505,,0.1111111111111111,,8.197124131594645,
9985,first-order-theorem-proving,0.5479869959753976,,0.1781045751633987,,7.946470049888696,
10093,banknote-authentication,0.9612129004607307,,0.88,,0.5161978474585204,
10101,blood-transfusion-service-center,0.7713206627680311,,0.76,,0.5117564098415173,
14952,PhishingWebsites,0.9647001773902086,,0.8394391677973767,,0.617658445138033,
14969,GesturePhaseSegmentationProcessed,0.5417216330438592,,0.27746835443037976,,5.587467007647365,
146800,MiceProtein,0.6207329022143837,,0.1388888888888889,,7.69630776738526,
146817,steel-plates-fault,0.5953253272170483,,0.35989717223650386,,7.122280647313103,
146819,climate-model-simulation-crashes,0.9113355780022447,,0.9166666666666666,,0.300162639444481,
146820,wilt,0.5541862613369163,,0.9462809917355371,,0.21376377663162047,
146822,segment,0.6436223708950981,,0.2857142857142857,,7.391715733252321,
146824,mfeat-pixel,0.6577361111111112,,0.2,,8.842340366275575,
167119,jungle_chess_2pcs_raw_endgame_complete,0.8057978276791017,,0.7019187862561357,,0.896867399547782,
167120,numerai28.6,0.514503792921811,,0.4948089700996678,,0.6946562652166771,
167140,dna,0.9762448222735248,,0.542319749216301,,1.0482126824168072,
167141,churn,0.8329906951015118,,0.859,,0.39271709542873307,
