model_name,roc_auc_mean,roc_auc_std,accuracy_mean,accuracy_std
baseline,0.6315916973941467,0.1347026606668684,0.48125464909101695,0.314678459736208
mynanotabpfn,0.732542013916001,0.1387277129374011,0.5542302548871642,0.2883961628816635
osnanotabpfn,0.9069437319930881,0.1114244058558642,0.8376666426846947,0.13981435398087055
seldon,0.9386440110884802,0.0962654817344349,0.8987964318090161,0.11073380541584439
