task_id,task_name,fold,n_train,n_test,n_features,n_classes,runtime_s,error,roc_auc,accuracy,log_loss
11,balance-scale,0,500,125,4,3,0.27523051199978,,0.7137827676738161,0.464,0.9157556964015017
12,mfeat-factors,0,1600,400,216,10,4.21429430399985,,0.5220416666666667,0.1,7.516467727901256
14,mfeat-fourier,0,1600,400,76,10,1.5189520890003223,,0.5662569444444445,0.1,7.400273928338092
15,breast-w,0,559,140,9,2,0.13886373200011803,,0.9938858695652173,0.8928571428571429,0.36316150705544253
16,mfeat-karhunen,0,1600,400,64,10,1.296923138999773,,0.4626180555555556,0.1,7.420732103818366
18,mfeat-morphological,0,1600,400,6,10,0.27540386800001215,,0.5905069444444445,0.1,6.772364543366383
22,mfeat-zernike,0,1600,400,47,10,0.9854708859998027,,0.5262291666666667,0.1,7.29997859997698
23,cmc,0,1178,295,9,3,0.19622684699970705,,0.6662182876992341,0.4271186440677966,1.0692244406256397
28,optdigits,0,4496,1124,64,10,14.362905154000146,,0.5195901768681235,0.09875444839857651,7.379798833328963
32,pendigits,0,8793,2199,16,10,28.97419808299992,,0.5901083952306743,0.10413824465666212,6.897755332508446
37,diabetes,0,614,154,8,2,0.12286513400022159,,0.7381481481481481,0.6493506493506493,0.6039831798302184
43,spambase,0,3680,921,57,2,8.276334470000165,,0.5603197172112129,0.6058631921824105,0.7019163989098465
53,vehicle,0,676,170,18,4,0.15618535600015093,,0.601190558573371,0.3058823529411765,3.523424056290037
219,electricity,0,10000,9063,8,2,77.556473697,,0.7660336307987314,0.5824782080988635,0.6506760523286309
2074,satimage,0,5144,1286,36,6,13.593978944000355,,0.6985282521887535,0.21073094867807154,5.119443113188105
3549,analcatdata_authorship,0,672,169,70,4,0.26152794600011475,,0.7279405189221995,0.378698224852071,3.245315785998036
3573,mnist_784,0,10000,14000,784,10,2.100798154000131,"OutOfMemoryError: CUDA out of memory. Tried to allocate 192.23 GiB. GPU 0 has a total capacity of 39.49 GiB of which 12.21 GiB is free. Including non-PyTorch memory, this process has 27.27 GiB memory in use. Of the allocated memory 17.31 GiB is allocated by PyTorch, and 9.47 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
3902,pc4,0,1166,292,37,2,0.41791476999969746,,0.5105251736111112,0.8767123287671232,0.38121768845643295
3903,pc3,0,1250,313,37,2,0.4427057259999856,,0.5784030249110321,0.8977635782747604,0.3310274520202588
3904,jm1,0,8708,2177,21,2,44.26556341000014,,0.6178450267559071,0.8066146072576941,0.4755312992334373
3913,kc2,0,417,105,21,2,0.09167392499966809,,0.6864731653888281,0.7904761904761904,0.4729859218906198
3917,kc1,0,1687,422,21,2,0.5966525609997007,,0.6664511958629606,0.8459715639810427,0.39946882141165174
3918,pc1,0,887,222,21,2,0.1665499450000425,,0.6429951690821256,0.9324324324324325,0.23668173990856733
9946,wdbc,0,455,114,30,2,0.0951398289998906,,0.9216269841269842,0.6403508771929824,0.5370374761135107
9952,phoneme,0,4323,1081,5,2,1.628638909000074,,0.7993211884981914,0.7067530064754857,0.5534124281225125
9957,qsar-biodeg,0,844,211,41,2,0.21858591199998045,,0.5539235412474849,0.6635071090047393,0.654020327992549
9960,wall-robot-navigation,0,4364,1092,24,4,5.789680990999841,,0.6982754408428516,0.40384615384615385,2.6394966592587332
9964,semeion,0,1274,319,256,10,2.793348333999802,,0.5969356477838972,0.10031347962382445,7.500919295802845
9976,madelon,0,2080,520,500,2,19.66464539799972,,0.5271671597633136,0.5,0.7236222258023628
9977,nomao,0,10000,6893,118,2,1.679588204999618,"OutOfMemoryError: CUDA out of memory. Tried to allocate 33.53 GiB. GPU 0 has a total capacity of 39.49 GiB of which 30.52 GiB is free. Including non-PyTorch memory, this process has 8.96 GiB memory in use. Of the allocated memory 3.04 GiB is allocated by PyTorch, and 5.43 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
9978,ozone-level-8hr,0,2027,507,72,2,2.0143181070002356,,0.46513157894736845,0.9368836291913215,0.2545863536003319
9981,cnae-9,0,864,216,856,9,4.096748020999712,,0.5251736111111112,0.1111111111111111,5.69747867596324
9985,first-order-theorem-proving,0,4894,1224,51,6,15.704782673999944,,0.5497176487323213,0.12254901960784313,6.844050802306977
10093,banknote-authentication,0,1097,275,4,2,0.1717312299997502,,0.9510339654987678,0.8654545454545455,0.524886449708672
10101,blood-transfusion-service-center,0,598,150,4,2,0.12384252399988327,,0.7640107212475634,0.76,0.5197849109581396
14952,PhishingWebsites,0,8844,2211,30,2,52.30280116499989,,0.8237673867272335,0.5680687471732248,0.6732560187935958
14969,GesturePhaseSegmentationProcessed,0,7898,1975,32,5,39.23155557799964,,0.46920698363032143,0.21265822784810126,5.131128997700516
14970,har,0,8239,2060,561,6,1.7794007090005834,"OutOfMemoryError: CUDA out of memory. Tried to allocate 107.73 GiB. GPU 0 has a total capacity of 39.49 GiB of which 19.78 GiB is free. Including non-PyTorch memory, this process has 19.70 GiB memory in use. Of the allocated memory 11.80 GiB is allocated by PyTorch, and 7.41 GiB is reserved by PyTorch but unallocated. If reserved but unallocated memory is large try setting PYTORCH_CUDA_ALLOC_CONF=expandable_segments:True to avoid fragmentation.  See documentation for Memory Management  (https://pytorch.org/docs/stable/notes/cuda.html#environment-variables)",,,
